,City,Country,Date_Checked,Latitude,Longitude,Temp(K),MaxTemp(K),Humidity(%),Cloudiness(%),Wind_Speed(meter/sec),Temp(F),MaxTemp(F),Wind_Speed(mph)
23,Vagur,FO,1553631773.0,61.47,-6.81,281.088,281.088,94.0,88.0,5.46,46,46,12
24,Tuktoyaktuk,CA,1553628600.0,69.44,-133.03,265.15,265.15,92.0,90.0,1.0,18,18,2
25,Luderitz,NA,1553631740.0,-26.65,15.16,289.238,289.238,86.0,0.0,4.26,61,61,10
26,Empangeni,ZA,1553631774.0,-28.75,31.9,293.438,293.438,90.0,92.0,2.56,69,69,6
27,Hobart,AU,1553631555.0,-42.88,147.33,279.28,282.15,70.0,0.0,3.1,43,48,7
28,Ushuaia,AR,1553626800.0,-54.81,-68.31,285.15,285.15,66.0,75.0,3.6,54,54,8
29,Vao,EE,1553631774.0,59.1,26.19,270.238,270.238,75.0,0.0,4.31,27,27,10
30,Aksu,KZ,1553628600.0,52.04,76.93,275.15,275.15,74.0,0.0,6.0,36,36,13
31,Abha,SA,1553630400.0,18.22,42.5,289.19,290.15,72.0,0.0,3.6,61,63,8
32,Burns Lake,CA,1553631774.0,54.23,-125.76,279.238,279.238,54.0,48.0,1.31,43,43,3
33,Port Shepstone,ZA,1553631774.0,-30.74,30.45,293.238,293.238,100.0,88.0,2.31,68,68,5
35,Mataura,NZ,1553631605.0,-46.19,168.86,285.37,285.37,91.0,44.0,5.36,54,54,12
36,Narsaq,GL,1553629800.0,60.91,-46.05,268.15,268.15,45.0,75.0,4.1,23,23,9
37,Havelock,US,1553631505.0,34.88,-76.9,286.61,288.15,35.0,1.0,9.3,56,59,21
39,Airai,TL,1553631732.0,-8.93,125.41,293.738,293.738,91.0,76.0,0.76,69,69,2
40,Alice Springs,AU,1553628600.0,-23.7,133.88,287.15,287.15,58.0,0.0,1.5,57,57,3
41,Kapaa,US,1553631501.0,22.08,-159.32,294.54,297.15,88.0,90.0,1.5,71,75,3
42,Khatanga,RU,1553631655.0,71.98,102.47,269.288,269.288,92.0,88.0,4.71,25,25,11
43,Port Elizabeth,US,1553631703.0,39.31,-74.98,281.47,283.71,18.0,1.0,6.2,47,51,14
44,Sao Filipe,CV,1553631775.0,14.9,-24.5,294.488,294.488,97.0,0.0,5.01,70,70,11
45,Bluff,AU,1553631738.0,-23.58,149.07,297.588,297.588,78.0,80.0,3.36,76,76,8
46,Gallup,US,1553629980.0,35.53,-108.74,293.75,294.15,14.0,1.0,7.2,69,70,16
48,Angoche,MZ,1553631776.0,-16.23,39.91,300.088,300.088,100.0,8.0,5.56,80,80,12
49,Tasiilaq,GL,1553629800.0,65.61,-37.64,270.15,270.15,53.0,40.0,6.2,27,27,14
50,Albany,US,1553631517.0,42.65,-73.75,277.77,280.15,17.0,1.0,7.2,40,45,16
51,Deputatskiy,RU,1553631776.0,69.3,139.9,244.138,244.138,27.0,20.0,1.36,-20,-20,3
52,Uong Bi,VN,1553628600.0,21.03,106.78,294.15,294.15,100.0,75.0,1.5,70,70,3
53,Lebu,ET,1553630400.0,8.96,38.73,293.15,293.15,45.0,20.0,3.1,68,68,7
54,Chuy,UY,1553631732.0,-33.69,-53.46,291.838,291.838,91.0,88.0,7.26,66,66,16
55,Itau de Minas,BR,1553631776.0,-20.74,-46.75,298.938,298.938,67.0,0.0,1.66,78,78,4
56,San Juan,PR,1553631507.0,18.47,-66.12,302.12,303.71,48.0,40.0,4.1,84,87,9
57,Saint-Philippe,CA,1553631608.0,45.36,-73.48,272.32,273.71,42.0,1.0,3.6,31,33,8
58,Ruteng,ID,1553631778.0,-8.61,120.46,295.688,295.688,96.0,76.0,1.36,73,73,3
59,San Quintin,PH,1553631750.0,17.54,120.52,289.088,289.088,75.0,0.0,1.21,61,61,3
60,Melfi,IT,1553626500.0,41.0,15.66,275.15,275.15,96.0,90.0,5.1,36,36,11
61,Alihe,CN,1553631779.0,50.57,123.73,256.238,256.238,56.0,0.0,1.96,2,2,4
62,Avarua,CK,1553630400.0,-21.21,-159.78,302.15,302.15,83.0,0.0,2.6,84,84,6
63,Port Lincoln,AU,1553631779.0,-34.72,135.86,285.388,285.388,100.0,0.0,1.76,54,54,4
65,Nortelandia,BR,1553631779.0,-14.45,-56.8,300.188,300.188,91.0,8.0,1.76,81,81,4
66,Benguela,AO,1553631780.0,-12.58,13.4,299.838,299.838,100.0,68.0,2.86,80,80,6
68,Husavik,CA,1553631629.0,50.56,-96.99,275.7,276.48,85.0,0.0,5.36,37,38,12
69,Kavieng,PG,1553631780.0,-2.57,150.8,301.638,301.638,100.0,0.0,3.46,83,83,8
70,Upernavik,GL,1553631757.0,72.79,-56.15,258.788,258.788,100.0,32.0,2.21,6,6,5
71,Sishui,CN,1553631780.0,35.66,117.27,284.088,284.088,68.0,64.0,3.56,52,52,8
72,Alta Floresta,BR,1553630400.0,-9.87,-56.08,305.15,305.15,62.0,40.0,2.1,90,90,5
73,Tura,IN,1553631597.0,25.52,90.21,290.438,290.438,94.0,0.0,0.96,63,63,2
74,Pangnirtung,CA,1553629560.0,66.15,-65.72,259.15,259.15,71.0,20.0,1.5,7,7,3
75,Chamba,IN,1553631781.0,32.56,76.12,278.138,278.138,58.0,0.0,0.96,41,41,2
76,Xining,CN,1553631781.0,36.62,101.77,266.038,266.038,72.0,36.0,0.26,19,19,1
77,Taungdwingyi,MM,1553631781.0,20.0,95.55,292.588,292.588,80.0,0.0,1.11,67,67,2
78,Srednekolymsk,RU,1553631781.0,67.46,153.71,257.138,257.138,63.0,80.0,5.26,3,3,12
79,East London,ZA,1553631715.0,-33.02,27.91,293.588,293.588,100.0,92.0,1.51,69,69,3
80,Hilo,US,1553631693.0,19.71,-155.08,295.86,297.59,73.0,90.0,3.1,73,76,7
81,Dikson,RU,1553631751.0,73.51,80.55,271.238,271.238,93.0,88.0,11.41,29,29,26
82,Busselton,AU,1553631619.0,-33.64,115.35,286.74,287.04,45.0,0.0,6.56,56,57,15
83,Yellowknife,CA,1553631611.0,62.45,-114.38,271.3,271.48,68.0,75.0,6.7,29,29,15
84,Minas,UY,1553626800.0,-34.38,-55.24,293.15,293.15,56.0,75.0,7.7,68,68,17
85,Cape Town,ZA,1553631491.0,-33.93,18.42,292.96,293.71,64.0,0.0,2.6,68,69,6
86,Atuona,PF,1553631628.0,-9.8,-139.03,300.938,300.938,100.0,44.0,5.86,82,82,13
87,Jasper,US,1553631648.0,33.83,-87.28,289.41,292.15,34.0,0.0,3.66,61,66,8
88,Mocuba,MZ,1553631782.0,-16.84,36.99,295.638,295.638,80.0,0.0,1.31,72,72,3
89,Okha,RU,1553631782.0,53.59,142.95,262.638,262.638,76.0,56.0,5.06,13,13,11
90,Kintampo,GH,1553631782.0,8.05,-1.73,301.638,301.638,59.0,8.0,3.01,83,83,7
91,Palembang,ID,1553631782.0,-2.99,104.76,296.388,296.388,96.0,88.0,2.11,74,74,5
92,Constitucion,MX,1553631616.0,23.99,-104.67,298.44,298.71,14.0,40.0,3.1,78,78,7
93,Eureka,US,1553631519.0,40.8,-124.16,287.23,289.26,66.0,1.0,3.1,57,61,7
94,Mount Gambier,AU,1553626800.0,-37.83,140.78,283.15,283.15,100.0,90.0,2.1,50,50,5
95,Thompson,CA,1553626800.0,55.74,-97.86,277.15,277.15,55.0,75.0,5.7,39,39,13
96,Arraial do Cabo,BR,1553630400.0,-22.97,-42.02,301.15,301.15,61.0,20.0,6.2,82,82,14
97,Inhambane,MZ,1553631783.0,-23.87,35.38,299.488,299.488,86.0,92.0,8.21,79,79,18
98,Neiafu,TO,1553626800.0,-18.65,-173.98,298.15,298.15,88.0,75.0,1.0,77,77,2
99,Barrow,AR,1553631635.0,-38.31,-60.23,290.438,290.438,59.0,0.0,2.76,63,63,6
100,Vila Velha,BR,1553631490.0,-3.71,-38.6,299.72,300.37,78.0,40.0,1.5,80,81,3
101,Abeche,TD,1553631784.0,13.83,20.83,296.738,296.738,51.0,0.0,1.36,74,74,3
102,Ventspils,LV,1553629800.0,57.39,21.56,275.15,275.15,80.0,0.0,3.1,36,36,7
103,Luoyang,CN,1553631784.0,34.66,112.42,282.988,282.988,65.0,76.0,1.16,50,50,3
104,Sur,OM,1553631784.0,22.57,59.53,297.488,297.488,83.0,0.0,4.31,76,76,10
107,Krasnoshchekovo,RU,1553631784.0,51.67,82.73,263.588,263.588,63.0,0.0,1.21,15,15,3
109,Kyabe,TD,1553631785.0,9.45,18.94,304.088,304.088,39.0,64.0,2.96,88,88,7
110,Kathu,ZA,1553631321.0,-27.7,23.05,295.37,295.37,37.0,0.0,2.31,72,72,5
111,Emba,CY,1553631329.0,34.81,32.42,284.12,286.15,76.0,20.0,4.1,52,55,9
112,Faanui,PF,1553631651.0,-16.48,-151.75,301.738,301.738,100.0,32.0,3.61,83,83,8
113,Altoona,US,1553631432.0,40.52,-78.39,280.5,282.04,28.0,1.0,2.6,45,48,6
114,Nikolskoye,RU,1553631635.0,59.7,30.79,271.39,272.15,86.0,75.0,5.0,29,30,11
115,Bulawayo,ZW,1553631785.0,-20.16,28.59,295.838,295.838,62.0,0.0,6.41,73,73,14
116,Nikolsk,RU,1553631786.0,59.53,45.45,272.738,272.738,90.0,92.0,2.36,31,31,5
117,Belyy Yar,RU,1553628600.0,53.6,91.39,265.15,265.15,92.0,0.0,1.0,18,18,2
118,Haines Junction,CA,1553631693.0,60.75,-137.51,275.938,275.938,55.0,20.0,1.41,37,37,3
119,Kudahuvadhoo,MV,1553631654.0,2.67,72.89,302.738,302.738,98.0,20.0,4.91,85,85,11
120,Praya,ID,1553626800.0,-8.71,116.27,297.15,297.15,100.0,75.0,1.5,75,75,3
122,Sisimiut,GL,1553631786.0,66.94,-53.67,262.238,262.238,87.0,56.0,0.81,12,12,2
123,Moose Factory,CA,1553626800.0,51.26,-80.61,273.15,273.15,75.0,75.0,7.7,32,32,17
124,Port Alfred,ZA,1553631584.0,-33.59,26.89,292.438,292.438,87.0,56.0,3.26,67,67,7
125,Yerkoy,TR,1553631649.0,39.64,34.47,270.138,270.138,67.0,8.0,1.16,27,27,3
126,Mogadishu,SO,1553631641.0,2.04,45.34,301.738,301.738,96.0,0.0,7.36,83,83,16
127,Yerbogachen,RU,1553631706.0,61.28,108.01,265.238,265.238,84.0,76.0,1.96,18,18,4
128,Mayo,CA,1553626800.0,63.59,-135.9,275.15,275.15,69.0,20.0,1.5,36,36,3
129,Castro,CL,1553626800.0,-42.48,-73.76,294.15,294.15,46.0,0.0,3.6,70,70,8
130,Port Blair,IN,1553631787.0,11.67,92.75,300.088,300.088,100.0,80.0,2.71,80,80,6
131,Mount Isa,AU,1553629200.0,-20.73,139.49,296.15,296.15,100.0,90.0,4.1,73,73,9
133,LaBelle,US,1553631539.0,26.76,-81.44,300.72,302.15,42.0,1.0,4.1,82,84,9
134,Plettenberg Bay,ZA,1553631788.0,-34.05,23.37,291.338,291.338,96.0,48.0,7.46,65,65,17
135,Chokurdakh,RU,1553631731.0,70.62,147.9,250.738,250.738,64.0,44.0,5.76,-8,-8,13
136,Burhaniye,TR,1553631729.0,39.51,26.98,286.39,287.59,50.0,0.0,5.1,56,58,11
137,Coquimbo,CL,1553626800.0,-29.95,-71.34,288.15,288.15,82.0,90.0,4.6,59,59,10
138,Ancud,CL,1553626800.0,-41.87,-73.83,294.15,294.15,46.0,0.0,3.6,70,70,8
139,Saint-Augustin,FR,1553631669.0,44.83,-0.61,284.71,285.15,40.0,0.0,4.6,53,54,10
140,Caravelas,BR,1553631750.0,-17.73,-39.27,301.138,301.138,100.0,0.0,4.41,82,82,10
141,Esperance,TT,1553631387.0,10.24,-61.45,303.02,304.15,55.0,40.0,6.7,86,88,15
142,Ngunguru,NZ,1553630885.0,-35.62,174.5,289.26,289.26,95.0,80.0,7.96,61,61,18
144,Puerto Ayora,EC,1553631309.0,-0.74,-90.35,301.45,302.15,74.0,40.0,4.1,83,84,9
145,Qaanaaq,GL,1553631684.0,77.48,-69.36,248.938,248.938,72.0,0.0,4.36,-12,-12,10
146,Eslamshahr,IR,1553630400.0,35.55,51.23,280.15,281.15,93.0,0.0,7.2,45,46,16
147,Butaritari,KI,1553631739.0,3.07,172.79,301.688,301.688,100.0,48.0,7.26,83,83,16
148,Salalah,OM,1553629800.0,17.01,54.1,299.15,299.15,78.0,75.0,2.1,79,79,5
149,Bredasdorp,ZA,1553631320.0,-34.53,20.04,291.35,291.48,68.0,76.0,4.6,65,65,10
150,Russell,AR,1553630400.0,-33.01,-68.8,291.15,291.15,59.0,40.0,4.6,64,64,10
151,Sao Joao da Barra,BR,1553630400.0,-21.64,-41.05,301.15,301.15,65.0,0.0,5.1,82,82,11
152,Santa Maria,BR,1553626800.0,-29.69,-53.81,297.15,297.15,47.0,20.0,3.6,75,75,8
153,Tutoia,BR,1553630400.0,-2.76,-42.27,303.15,303.15,62.0,20.0,4.1,86,86,9
154,Shangzhi,CN,1553631791.0,45.21,127.96,264.288,264.288,61.0,32.0,1.21,16,16,3
155,Sitka,US,1553631372.0,37.17,-99.65,290.93,290.93,54.0,0.0,5.36,64,64,12
156,Luorong,CN,1553631791.0,24.41,109.6,291.938,291.938,96.0,100.0,1.76,66,66,4
157,Fortuna,ES,1553631507.0,38.18,-1.13,285.89,288.15,62.0,0.0,7.7,55,59,17
158,Ponta do Sol,BR,1553631733.0,-20.63,-46.0,299.588,299.588,57.0,76.0,1.36,80,80,3
159,Guaymitas,HN,1553630400.0,15.5,-87.71,304.11,305.15,49.0,40.0,8.2,88,90,18
160,Comodoro Rivadavia,AR,1553630400.0,-45.87,-67.48,293.15,293.15,56.0,0.0,4.6,68,68,10
161,Mehamn,NO,1553629800.0,71.03,27.85,270.15,270.15,79.0,75.0,5.7,27,27,13
162,Sinnamary,GF,1553631792.0,5.38,-52.96,300.338,300.338,91.0,88.0,4.81,81,81,11
164,Yurino,RU,1553628600.0,56.29,46.29,273.15,273.15,97.0,75.0,3.0,32,32,7
165,Ketchikan,US,1553630160.0,55.34,-131.65,282.14,283.15,66.0,1.0,9.3,48,50,21
166,Pevek,RU,1553631792.0,69.7,170.27,264.138,264.138,65.0,56.0,2.21,16,16,5
167,Kauhajoki,FI,1553631670.0,62.43,22.18,268.29,269.26,85.0,0.0,1.0,23,25,2
169,Ribeira Grande,PT,1553630400.0,38.52,-28.7,289.15,289.15,82.0,20.0,2.6,61,61,6
170,Torbay,CA,1553631765.0,47.66,-52.73,270.41,270.93,58.0,90.0,3.6,27,28,8
171,Zyryanskoye,RU,1553631793.0,56.83,86.62,261.988,261.988,62.0,0.0,2.31,12,12,5
172,Alyangula,AU,1553626800.0,-13.85,136.42,298.15,298.15,100.0,88.0,1.5,77,77,3
173,Cap Malheureux,MU,1553631546.0,-19.98,57.61,299.14,300.15,83.0,40.0,0.5,79,81,1
174,Trelew,AR,1553631793.0,-43.25,-65.31,295.538,295.538,36.0,0.0,5.56,72,72,12
175,Mar del Plata,AR,1553631743.0,-46.43,-67.52,295.738,295.738,40.0,0.0,2.81,73,73,6
176,Sawakin,SD,1553630400.0,19.1,37.33,297.15,297.15,57.0,0.0,3.1,75,75,7
178,Egvekinot,RU,1553631792.0,66.32,-179.17,270.138,270.138,85.0,68.0,7.46,27,27,17
179,Beyneu,KZ,1553631794.0,45.32,55.19,276.238,276.238,68.0,68.0,3.41,38,38,8
180,Parabel,RU,1553631794.0,58.71,81.5,269.488,269.488,84.0,0.0,3.91,25,25,9
181,Yamoussoukro,CI,1553626800.0,6.81,-5.27,305.15,305.15,52.0,40.0,3.1,90,90,7
182,Bien Hoa,VN,1553628600.0,10.95,106.82,301.15,301.15,61.0,20.0,3.1,82,82,7
183,Rio Grande,BR,1553630400.0,-32.03,-52.1,294.15,294.15,77.0,75.0,4.6,70,70,10
184,Kaitangata,NZ,1553631795.0,-46.28,169.85,287.688,287.688,77.0,92.0,7.81,58,58,17
185,Roald,NO,1553631604.0,62.58,6.12,276.86,280.15,87.0,75.0,6.7,39,45,15
186,Rawson,AR,1553631795.0,-43.3,-65.11,295.538,295.538,36.0,0.0,5.56,72,72,12
187,La Palma,CO,1553631796.0,5.36,-74.39,296.938,296.938,87.0,32.0,0.96,75,75,2
188,Masuguru,MZ,1553631796.0,-11.38,38.46,298.588,298.588,89.0,68.0,1.21,78,78,3
189,Provideniya,RU,1553631732.0,64.42,-173.23,273.088,273.088,96.0,88.0,13.41,32,32,30
190,Clyde River,CA,1553630400.0,70.47,-68.59,255.15,255.15,64.0,20.0,3.1,0,0,7
191,Gorontalo,ID,1553631636.0,0.54,123.06,296.088,296.088,97.0,56.0,0.86,73,73,2
193,Sault Sainte Marie,CA,1553630400.0,46.49,-84.36,277.48,278.15,30.0,1.0,2.91,40,41,7
194,Chauk,MM,1553631796.0,20.89,94.82,296.088,296.088,64.0,0.0,3.76,73,73,8
195,Constantine,DZ,1553628600.0,36.36,6.61,281.15,281.15,81.0,75.0,4.1,46,46,9
196,Charsadda,PK,1553631797.0,34.14,71.73,283.938,283.938,64.0,8.0,1.11,51,51,2
197,Vanimo,PG,1553631769.0,-2.67,141.3,300.338,300.338,100.0,76.0,4.56,81,81,10
198,Auki,NG,1553631797.0,12.18,6.51,297.638,297.638,25.0,24.0,3.41,76,76,8
199,Villablino,ES,1553631774.0,42.94,-6.32,280.67,283.15,14.0,0.0,4.1,46,50,9
200,Sao Gabriel da Cachoeira,BR,1553630400.0,-0.13,-67.09,307.15,307.15,56.0,20.0,3.1,93,93,7
202,San Patricio,PY,1553631649.0,-26.98,-56.83,295.738,295.738,51.0,80.0,2.71,73,73,6
204,Vizinga,RU,1553631798.0,61.08,50.08,270.538,270.538,88.0,92.0,1.86,27,27,4
205,Halifax,CA,1553631667.0,44.65,-63.58,275.32,276.48,25.0,20.0,6.7,36,38,15
206,Puerto Baquerizo Moreno,EC,1553630400.0,-0.9,-89.6,301.15,301.15,83.0,75.0,3.1,82,82,7
207,Broome,GB,1553631627.0,52.47,1.45,281.76,283.15,66.0,40.0,0.5,47,50,1
208,Cruz Alta,AR,1553631720.0,-33.01,-61.81,295.93,295.93,35.0,0.0,2.68,73,73,6
209,Port Macquarie,AU,1553631605.0,-31.43,152.91,292.71,294.26,77.0,90.0,2.6,67,70,6
210,Cap-aux-Meules,CA,1553626800.0,47.38,-61.86,268.15,268.15,53.0,40.0,7.7,23,23,17
211,Norman Wells,CA,1553626800.0,65.28,-126.83,275.15,275.15,74.0,20.0,4.6,36,36,10
212,Razole,IN,1553631799.0,16.48,81.84,301.138,301.138,100.0,0.0,4.31,82,82,10
214,Saskylakh,RU,1553631799.0,71.97,114.09,261.738,261.738,69.0,76.0,1.76,11,11,4
215,Vangaindrano,MG,1553631799.0,-23.35,47.6,295.188,295.188,96.0,80.0,1.86,72,72,4
216,Leh,IN,1553631799.0,34.16,77.58,251.938,251.938,77.0,48.0,0.76,-6,-6,2
217,Sechura,PE,1553631799.0,-5.56,-80.82,299.438,299.438,64.0,0.0,4.86,79,79,11
220,Linxia,CN,1553631800.0,35.6,103.21,269.738,269.738,83.0,76.0,1.41,26,26,3
221,Tanout,NE,1553631800.0,14.97,8.88,299.988,299.988,16.0,0.0,5.36,80,80,12
222,Saint George,GR,1553629800.0,39.45,22.34,284.62,285.15,87.0,75.0,1.21,53,54,3
224,Bose,IT,1553631786.0,45.46,8.01,282.2,284.15,23.0,0.0,1.5,48,52,3
225,Kruisfontein,ZA,1553631754.0,-34.0,24.73,287.988,287.988,86.0,36.0,2.96,59,59,7
226,Bezhanitsy,RU,1553631800.0,56.97,29.88,269.938,269.938,69.0,36.0,5.11,26,26,11
227,Makakilo City,US,1553631736.0,21.35,-158.09,297.38,299.15,61.0,75.0,3.1,76,79,7
228,Boa Vista,BR,1553630400.0,2.82,-60.67,308.15,308.15,34.0,40.0,3.1,95,95,7
230,Nemuro,JP,1553631803.0,43.32,145.57,273.538,273.538,97.0,0.0,10.46,33,33,23
231,Birao,CF,1553631803.0,10.3,22.78,298.488,298.488,64.0,12.0,1.96,78,78,4
232,Kloulklubed,PW,1553626200.0,7.04,134.26,298.15,298.15,88.0,90.0,3.6,77,77,8
233,Mabaruma,GY,1553631804.0,8.2,-59.78,302.588,302.588,59.0,0.0,4.61,85,85,10
234,Muros,ES,1553631789.0,42.77,-9.06,287.02,292.15,57.0,0.0,2.6,57,66,6
235,Villa Carlos Paz,AR,1553630429.0,-31.42,-64.5,290.96,291.48,67.0,75.0,1.0,64,65,2
236,La Ronge,CA,1553626800.0,55.1,-105.3,276.15,276.15,74.0,90.0,2.6,37,37,6
237,Dunhua,CN,1553631804.0,43.37,128.23,268.388,268.388,70.0,80.0,1.21,23,23,3
238,Margate,AU,1553631475.0,-43.03,147.26,279.03,282.15,70.0,0.0,3.1,43,48,7
239,Fort-Shevchenko,KZ,1553631805.0,44.51,50.26,278.238,278.238,94.0,36.0,5.36,41,41,12
240,Puerto Narino,CO,1553630400.0,-3.77,-70.38,299.15,299.15,100.0,75.0,2.1,79,79,5
241,Indiana,US,1553631657.0,40.62,-79.15,280.35,282.04,22.0,1.0,3.1,45,48,7
242,Kieta,PG,1553631805.0,-6.22,155.63,299.538,299.538,100.0,76.0,2.06,79,79,5
243,Kandrian,PG,1553631805.0,-6.21,149.55,298.438,298.438,95.0,32.0,1.86,78,78,4
244,Lumeje,AO,1553631805.0,-11.56,20.78,292.538,292.538,93.0,32.0,1.06,67,67,2
245,Sorland,NO,1553629800.0,67.67,12.69,273.36,274.15,92.0,90.0,6.2,32,34,14
246,Victoria,BN,1553628600.0,5.28,115.24,298.65,299.15,94.0,75.0,1.0,78,79,2
247,Ilulissat,GL,1553629800.0,69.22,-51.1,262.15,262.15,85.0,90.0,4.1,12,12,9
248,Kodiak,US,1553631722.0,39.95,-94.76,288.8,290.37,51.0,20.0,3.1,60,63,7
249,Skegness,GB,1553631735.0,53.14,0.34,281.57,283.15,65.0,75.0,4.6,47,50,10
250,Souillac,FR,1553631639.0,45.6,-0.6,282.68,284.26,38.0,0.0,2.6,49,52,6
251,Khao Yoi,TH,1553631806.0,13.24,99.82,295.538,295.538,94.0,12.0,1.16,72,72,3
252,Ornskoldsvik,SE,1553629800.0,63.29,18.72,270.79,272.15,79.0,0.0,0.5,28,30,1
253,Kerrville,US,1553631554.0,30.05,-99.14,297.49,299.82,36.0,1.0,2.1,76,80,5
254,Erzin,TR,1553629800.0,36.95,36.2,287.65,288.15,54.0,75.0,6.7,58,59,15
255,Ust-Ilimsk,RU,1553631807.0,57.96,102.73,266.088,266.088,79.0,88.0,2.06,19,19,5
256,Codrington,AU,1553631539.0,-28.95,153.24,293.68,295.15,88.0,90.0,0.5,69,72,1
257,Itoman,JP,1553630400.0,26.12,127.67,286.98,290.15,67.0,20.0,2.1,57,63,5
258,Luanda,AO,1553630400.0,-8.83,13.24,300.15,300.15,83.0,75.0,1.5,81,81,3
259,Irbeyskoye,RU,1553631807.0,55.64,95.45,261.088,261.088,65.0,8.0,1.26,10,10,3
260,Novikovo,UA,1553631807.0,45.05,34.56,278.538,278.538,89.0,24.0,0.76,42,42,2
262,Colares,PT,1553631742.0,38.8,-9.45,292.37,294.82,37.0,0.0,3.1,67,71,7
263,Kozienice,PL,1553631757.0,51.59,21.55,273.89,275.37,97.0,0.0,8.86,33,36,20
264,Laguna,MX,1553629200.0,27.52,-110.01,302.15,302.15,30.0,75.0,3.1,84,84,7
265,Rio Gallegos,AR,1553630400.0,-51.62,-69.22,291.15,291.15,27.0,75.0,3.6,64,64,8
267,Challans,FR,1553631726.0,46.85,-1.88,280.82,283.15,57.0,0.0,2.6,46,50,6
268,Bingol,TR,1553631808.0,38.88,40.49,274.488,274.488,90.0,64.0,1.06,34,34,2
269,Pinawa,CA,1553631809.0,50.15,-95.88,277.888,277.888,84.0,48.0,8.06,41,41,18
270,Bukama,CD,1553631809.0,-9.2,25.85,293.938,293.938,95.0,44.0,1.31,69,69,3
273,Barpeta,IN,1553628600.0,26.33,91.01,295.15,295.15,83.0,90.0,1.31,72,72,3
274,The Pas,CA,1553626800.0,53.82,-101.24,278.15,278.15,65.0,1.0,5.1,41,41,11
275,Manokwari,ID,1553631564.0,-0.87,134.08,300.338,300.338,100.0,64.0,4.21,81,81,9
276,Hovd,NO,1553631665.0,63.83,10.7,276.52,279.26,93.0,90.0,2.1,38,43,5
278,Bemidji,US,1553631527.0,47.48,-94.89,276.82,277.59,60.0,90.0,4.1,39,40,9
279,Guerrero Negro,MX,1553631810.0,27.97,-114.04,295.338,295.338,56.0,44.0,4.56,72,72,10
280,Kaura Namoda,NG,1553631810.0,12.59,6.58,298.338,298.338,24.0,8.0,3.61,77,77,8
281,San Rafael del Sur,NI,1553630400.0,11.85,-86.44,308.15,308.15,34.0,20.0,6.2,95,95,14
282,Nanning,CN,1553626800.0,22.83,108.3,290.15,290.15,100.0,90.0,2.11,63,63,5
283,Lavrentiya,RU,1553631732.0,65.58,-170.99,273.288,273.288,95.0,68.0,13.91,32,32,31
285,Saquarema,BR,1553630400.0,-22.93,-42.51,301.15,301.15,61.0,20.0,6.2,82,82,14
286,Hopkinsville,US,1553631745.0,36.87,-87.49,284.8,285.93,25.0,1.0,2.6,53,55,6
287,Akureyri,IS,1553630400.0,65.68,-18.09,277.15,277.15,38.0,20.0,8.7,39,39,19
288,Wainwright,CA,1553631811.0,52.84,-110.86,274.488,274.488,97.0,92.0,2.66,34,34,6
